,date,year,month,open,high,low,close,volume,id
1486,2008-02-25,2008,2,118.59,506.5,116.66,119.74,44884740,1509
1485,2008-02-26,2008,2,117.64,506.5,115.44,119.15,53745939,1508
1484,2008-02-27,2008,2,118.23,506.5,118.09,122.96,52683413,1507
1483,2008-02-28,2008,2,127.2,506.5,125.77,129.91,57794704,1506
1482,2008-02-29,2008,2,129.29,506.5,124.8,125.02,44829643,1505
1481,2008-03-03,2008,3,124.44,506.5,118,121.73,56920466,1504
1480,2008-03-04,2008,3,121.99,506.5,120.4,124.62,63763682,1503
1479,2008-03-05,2008,3,123.58,506.5,122.25,124.49,43636940,1502
1478,2008-03-06,2008,3,124.62,506.5,120.81,120.93,52632054,1501
1477,2008-03-07,2008,3,120.41,506.5,119.05,122.25,43949217,1500
1476,2008-03-10,2008,3,121.98,506.5,119.37,119.69,35739047,1499
1475,2008-03-11,2008,3,124.1,506.5,122,127.35,41622202,1498
1474,2008-03-13,2008,3,124.1,506.5,123,127.94,45151255,1496
1473,2008-03-14,2008,3,129.88,506.5,124.2,126.61,41316269,1495
1472,2008-03-17,2008,3,122.55,506.5,122.55,126.73,38307074,1494
1471,2008-03-18,2008,3,129.18,506.5,128.67,132.82,43039945,1493
1470,2008-03-19,2008,3,133.12,506.5,129.67,129.67,36090600,1492
1469,2008-03-20,2008,3,131.12,506.5,129.18,133.27,32456650,1491
1468,2008-03-24,2008,3,134.01,506.5,133.64,139.53,38119507,1490
1467,2008-03-25,2008,3,139.96,506.5,137.33,140.98,37596140,1489
1466,2008-03-26,2008,3,140.87,506.5,140.64,145.06,42217233,1488
1465,2008-03-27,2008,3,144.95,506.5,139.99,140.25,35708131,1487
1464,2008-03-28,2008,3,141.8,506.5,141.6,143.01,25547083,1486
1463,2008-03-31,2008,3,143.27,506.5,142.52,143.5,27430839,1485
1462,2008-04-01,2008,4,146.3,506.5,143.61,149.53,36877317,1484
1461,2008-04-02,2008,4,148.78,506.5,145.85,147.49,37320214,1483
1460,2008-04-03,2008,4,147.06,506.5,147,151.61,37563004,1482
1459,2008-04-04,2008,4,152.19,506.5,150.75,153.08,30524395,1481
1458,2008-04-07,2008,4,156.13,506.5,155.11,155.89,41395988,1480
1457,2008-04-08,2008,4,153.55,506.5,152.32,152.84,36258626,1479
1456,2008-04-09,2008,4,153.31,506.5,150.46,151.44,31211125,1478
1455,2008-04-10,2008,4,151.13,506.5,150.6,154.55,34160321,1477
1454,2008-04-11,2008,4,152.72,506.5,146.4,147.14,43184829,1476
1453,2008-04-14,2008,4,146.77,506.5,144.54,147.78,30189396,1475
1452,2008-04-15,2008,4,149.4,506.5,145.72,148.38,24929883,1474
1451,2008-04-16,2008,4,151.72,506.5,150.62,153.7,28420420,1473
1450,2008-04-17,2008,4,154.17,506.5,153.35,154.49,25189279,1472
1449,2008-04-18,2008,4,159.12,506.5,158.38,161.04,36662793,1471
1448,2008-04-21,2008,4,162.21,506.5,161.76,168.16,37112590,1470
1447,2008-04-22,2008,4,167.4,506.5,158.09,160.2,51413219,1469
1446,2008-04-23,2008,4,164.05,506.5,161.08,162.89,53721101,1468
1445,2008-04-24,2008,4,165.34,506.5,159.19,168.94,60616273,1467
1444,2008-04-25,2008,4,170.7,506.5,166.42,169.73,35445425,1466
1443,2008-04-28,2008,4,169.75,506.5,169.13,172.24,28114734,1465
1442,2008-04-29,2008,4,171.11,506.5,170.25,175.05,32981265,1464
1441,2008-04-30,2008,4,176.19,506.5,172.92,173.95,40697228,1463
1440,2008-05-01,2008,5,174.96,506.5,174.86,180,32270581,1462
1439,2008-05-02,2008,5,180.19,506.5,178.55,180.94,35922773,1461
1438,2008-05-05,2008,5,181.92,506.5,181.05,184.73,30519889,1460
1437,2008-05-06,2008,5,184.66,506.5,182.18,186.66,32816765,1459
1436,2008-05-07,2008,5,186.05,506.5,180.54,182.59,41326175,1458
1435,2008-05-08,2008,5,183.77,506.5,183.07,185.06,32110148,1457
1434,2008-05-09,2008,5,183.16,506.5,181.37,183.45,24031955,1456
1433,2008-05-12,2008,5,185.21,506.5,182.85,188.16,29263070,1455
1432,2008-05-13,2008,5,188.61,506.5,187.86,189.96,29401281,1454
1431,2008-05-14,2008,5,191.23,506.5,185.57,186.26,32743680,1453
1430,2008-05-15,2008,5,186.81,506.5,184.2,189.73,31185978,1452
1429,2008-05-16,2008,5,190.11,506.5,187,187.62,27348837,1451
1428,2008-05-19,2008,5,187.86,506.5,181.3,183.6,33796411,1450
1427,2008-05-20,2008,5,181.82,506.5,180.12,185.9,34637473,1449
1426,2008-05-21,2008,5,185.67,506.5,176.25,178.19,41344865,1448
1425,2008-05-22,2008,5,179.26,506.5,172,177.05,43105919,1447
1424,2008-05-23,2008,5,180.77,506.5,177.8,181.17,32428828,1446
1423,2008-05-27,2008,5,182.75,506.5,181.84,186.43,28210871,1445
1422,2008-05-28,2008,5,187.41,506.5,183.72,187.01,26570641,1444
1421,2008-05-29,2008,5,186.76,506.5,185.5,186.69,23113799,1443
1420,2008-05-30,2008,5,187.45,506.5,187.38,188.75,21784360,1442
1419,2008-06-02,2008,6,188.6,506.5,184.53,186.1,24280000,1441
1418,2008-06-03,2008,6,186.86,506.5,182.34,185.37,27049567,1440
1417,2008-06-04,2008,6,184.02,506.5,183.23,185.19,25981128,1439
1416,2008-06-05,2008,6,186.34,506.5,185.7,189.43,26980102,1438
1415,2008-06-06,2008,6,188,506.5,185.55,185.64,34504377,1437
1414,2008-06-09,2008,6,184.79,506.5,175.75,181.61,67442535,1436
1413,2008-06-10,2008,6,180.51,506.5,179.02,185.64,40747845,1435
1412,2008-06-11,2008,6,184.34,506.5,179.59,180.81,34341045,1434
1411,2008-06-12,2008,6,181.49,506.5,171.2,173.26,46726115,1433
1410,2008-06-13,2008,6,171.64,506.5,165.31,172.37,48060646,1432
1409,2008-06-16,2008,6,171.3,506.5,169.07,176.84,37561768,1431
1408,2008-06-17,2008,6,178.1,506.5,177.41,181.43,32148419,1430
1407,2008-06-18,2008,6,181.12,506.5,177.35,178.75,28980970,1429
1406,2008-06-19,2008,6,178.55,506.5,176.8,180.9,28311343,1428
1405,2008-06-20,2008,6,179.35,506.5,175,175.27,31720067,1427
1404,2008-06-23,2008,6,174.74,506.5,171.56,173.16,23072024,1426
1403,2008-06-24,2008,6,172.37,506.5,171.63,173.25,22216923,1425
1402,2008-06-25,2008,6,174.61,506.5,173.88,177.39,23016067,1424
1401,2008-06-26,2008,6,174.07,506.5,168.01,168.26,31057440,1423
1400,2008-06-27,2008,6,166.51,506.5,164.15,170.09,37222315,1422
1399,2008-06-30,2008,6,170.06,506.5,166.62,167.44,24440648,1421
1398,2008-07-01,2008,7,164.23,506.5,164,174.68,39688556,1420
1397,2008-07-02,2008,7,175.2,506.5,168.18,168.18,29951728,1419
1396,2008-07-03,2008,7,169.59,506.5,165.75,170.12,18694175,1418
1395,2008-07-07,2008,7,173.16,506.5,171.9,175.16,29299603,1417
1394,2008-07-08,2008,7,175.4,506.5,172.74,179.55,31738989,1416
1393,2008-07-09,2008,7,180.2,506.5,174.14,174.25,32003589,1415
1392,2008-07-10,2008,7,174.92,506.5,171.37,176.63,30024547,1414
1391,2008-07-11,2008,7,175.47,506.5,171,172.58,33214614,1413
1390,2008-07-14,2008,7,179.24,506.5,173.08,173.88,31644790,1412
1389,2008-07-15,2008,7,172.48,506.5,166.39,169.64,37144352,1411
1388,2008-07-16,2008,7,170.2,506.5,168.6,172.81,26716567,1410
1387,2008-07-17,2008,7,174.1,506.5,171.39,171.81,27054456,1409
1386,2008-07-18,2008,7,168.52,506.5,165,165.15,31004574,1408
1385,2008-07-21,2008,7,166.9,506.5,161.12,166.29,48588195,1407
